"year","model","experiment","ensemble","GPP","Rs"
1849,"CESM2","historical","r10i1p1f1",95.8317261873403,26.9410781833979
1850,"CESM2","historical","r10i1p1f1",95.9035556726334,26.9888389372693
1851,"CESM2","historical","r10i1p1f1",95.7140828226648,27.133881833811
1852,"CESM2","historical","r10i1p1f1",96.6497534231269,27.2764673718572
1853,"CESM2","historical","r10i1p1f1",96.1901421761695,27.0543923444459
1854,"CESM2","historical","r10i1p1f1",95.140035310658,26.8663908999826
1855,"CESM2","historical","r10i1p1f1",95.8155080508304,27.0203628219855
1856,"CESM2","historical","r10i1p1f1",96.1859880906852,26.9566070180206
1857,"CESM2","historical","r10i1p1f1",94.1159956469084,26.6306477157774
1858,"CESM2","historical","r10i1p1f1",96.7487900322744,27.5172321406261
1859,"CESM2","historical","r10i1p1f1",96.8437077838423,27.2359430478492
1860,"CESM2","historical","r10i1p1f1",95.2611917838336,26.8673436060737
1861,"CESM2","historical","r10i1p1f1",96.6197765812947,27.0269336685507
1862,"CESM2","historical","r10i1p1f1",98.7816731624524,27.3681977187185
1863,"CESM2","historical","r10i1p1f1",96.9866203053882,27.1329245626629
1864,"CESM2","historical","r10i1p1f1",97.1562783206818,27.6171284052513
1865,"CESM2","historical","r10i1p1f1",96.7980547416114,27.1146362616308
1866,"CESM2","historical","r10i1p1f1",96.9182762507886,27.0072395274976
1867,"CESM2","historical","r10i1p1f1",96.6535065643486,27.0834738923335
1868,"CESM2","historical","r10i1p1f1",97.0412432650798,27.1923561244136
1869,"CESM2","historical","r10i1p1f1",96.0956012513769,27.106820862353
1870,"CESM2","historical","r10i1p1f1",97.6114646931288,27.5674704153401
1871,"CESM2","historical","r10i1p1f1",97.3989434207122,26.9524481702975
1872,"CESM2","historical","r10i1p1f1",96.246143791094,27.0804970576365
1873,"CESM2","historical","r10i1p1f1",97.9262850963747,27.5674347596942
1874,"CESM2","historical","r10i1p1f1",100.211871634811,27.684406128387
1875,"CESM2","historical","r10i1p1f1",98.0059641443145,27.1829601785123
1876,"CESM2","historical","r10i1p1f1",97.7918615566765,27.6800898883062
1877,"CESM2","historical","r10i1p1f1",98.2227210913026,27.238475674015
1878,"CESM2","historical","r10i1p1f1",96.997789985149,26.9964827986738
1879,"CESM2","historical","r10i1p1f1",95.7999482279553,27.0412486222279
1880,"CESM2","historical","r10i1p1f1",96.9829216052126,27.3125098416888
1881,"CESM2","historical","r10i1p1f1",95.5235411457545,27.0678738672673
1882,"CESM2","historical","r10i1p1f1",95.6686758013628,27.1123664626166
1883,"CESM2","historical","r10i1p1f1",97.0050228440701,26.7995986670719
1884,"CESM2","historical","r10i1p1f1",97.2123844940327,27.0851515096409
1885,"CESM2","historical","r10i1p1f1",96.7044247374514,26.8509964658373
1886,"CESM2","historical","r10i1p1f1",97.9499633942915,27.138498939196
1887,"CESM2","historical","r10i1p1f1",97.4919540202281,27.1169281041516
