"value","units","time","era","variable","model","experiment","ensemble","grid","year","month"
0.479828007163639,NA,18500115.4895833,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1850","01"
0.319422605592885,NA,18500214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1850","02"
0.343163050093685,NA,18500315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1850","03"
0.484657365332555,NA,18500415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1850","04"
0.383842492052623,NA,18500515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1850","05"
0.221321992955445,NA,18500615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1850","06"
0.231631360255814,NA,18500715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1850","07"
0.25018379481575,NA,18500815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1850","08"
0.267709393863687,NA,18500915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1850","09"
0.342848103901244,NA,18501015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1850","10"
0.520673158521866,NA,18501115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1850","11"
0.594142647685639,NA,18501215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1850","12"
0.397183828836751,NA,18510115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1851","01"
0.261495750837471,NA,18510214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1851","02"
0.394675267630568,NA,18510315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1851","03"
0.461164888550274,NA,18510415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1851","04"
0.343680745670882,NA,18510515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1851","05"
0.226744820970715,NA,18510615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1851","06"
0.224713972468129,NA,18510715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1851","07"
0.228750763303078,NA,18510815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1851","08"
0.253758078325694,NA,18510915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1851","09"
0.339102132982236,NA,18511015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1851","10"
0.518990345652637,NA,18511115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1851","11"
0.537667062013147,NA,18511215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1851","12"
0.432912946598876,NA,18520115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1852","01"
0.336581542014141,NA,18520214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1852","02"
0.330594418045741,NA,18520315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1852","03"
0.489338458098468,NA,18520415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1852","04"
0.370727098683535,NA,18520515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1852","05"
0.228226263720062,NA,18520615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1852","06"
0.217732177406013,NA,18520715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1852","07"
0.232103277610748,NA,18520815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1852","08"
0.263248486885438,NA,18520915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1852","09"
0.346685835338173,NA,18521015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1852","10"
0.568776325368673,NA,18521115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1852","11"
0.571743917276699,NA,18521215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1852","12"
0.405161077380656,NA,18530115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1853","01"
0.299499759509595,NA,18530214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1853","02"
0.390315445737468,NA,18530315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1853","03"
0.533808757280985,NA,18530415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1853","04"
0.361627861675107,NA,18530515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1853","05"
0.232652622724773,NA,18530615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1853","06"
0.209515528979647,NA,18530715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1853","07"
0.222393535286465,NA,18530815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1853","08"
0.256759627215825,NA,18530915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1853","09"
0.337319425023785,NA,18531015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1853","10"
0.556446891023265,NA,18531115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1853","11"
0.576103862756302,NA,18531215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1853","12"
0.431384037976277,NA,18540115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1854","01"
0.297190902847495,NA,18540214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1854","02"
0.343903203403182,NA,18540315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1854","03"
0.487423932340943,NA,18540415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1854","04"
0.358010927209341,NA,18540515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1854","05"
0.223147632465765,NA,18540615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1854","06"
0.22354343663597,NA,18540715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1854","07"
0.240448175651385,NA,18540815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1854","08"
0.263356497311609,NA,18540915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1854","09"
0.344188892453651,NA,18541015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1854","10"
0.560038559422812,NA,18541115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1854","11"
0.634096241671308,NA,18541215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1854","12"
0.418281441683559,NA,18550115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1855","01"
0.310605548104032,NA,18550214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1855","02"
0.391454612036354,NA,18550315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1855","03"
0.465737777835398,NA,18550415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1855","04"
0.390547109775751,NA,18550515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1855","05"
0.241947146188812,NA,18550615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1855","06"
0.218087267283575,NA,18550715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1855","07"
0.236934142186159,NA,18550815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1855","08"
0.258809858159817,NA,18550915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1855","09"
0.347213929156072,NA,18551015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1855","10"
0.576263814094596,NA,18551115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1855","11"
0.664653766863019,NA,18551215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1855","12"
0.402431346084554,NA,18560115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","01"
0.304066930455626,NA,18560214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","02"
0.349501866608486,NA,18560315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","03"
0.507930191782014,NA,18560415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","04"
0.370779054685946,NA,18560515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","05"
0.213455199557134,NA,18560615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","06"
0.22207059487587,NA,18560715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","07"
0.227233174534048,NA,18560815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","08"
0.264539703026098,NA,18560915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","09"
0.372812233675666,NA,18561015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","10"
0.513353332273261,NA,18561115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","11"
0.577388094745698,NA,18561215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","12"
0.45266285585529,NA,18570115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","01"
0.27834436901809,NA,18570214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","02"
0.333935492465151,NA,18570315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","03"
