Latitude,Longitude,MAT,MAP,LC_IGBP,FLUXCOM_GPP,FLUXCOM_GPP_filter
-73.25,81.25,-33.12,182.59,15,NaN,NaN
0.75,-64.75,24.87,2664.8,2,6.6835,6.6835
-0.75,-64.75,26.14,2572.6,2,6.6895,6.6895
-86.75,-11.75,-45.42,30.96,15,NaN,NaN
-86.75,11.75,-48.04,19.51,15,NaN,NaN
40.25,54.75,15.4,124.95,16,NaN,NaN
-34.25,-63.75,16.43,844.24,10,2.3165,2.3165
34.25,63.75,5.2,328.64,10,0.63649,0.63649
42.75,45.75,3.03,621.96,4,2.4474,2.4474
-36.75,-60.25,14.35,929.75,10,2.5317,2.5317
36.75,60.25,14.43,190.86,10,0.83038,0.83038
44.25,-94.25,7.35,723.92,12,2.2062,2.2062
44.25,94.25,10.45,106.02,16,NaN,NaN
65.25,-85.75,-12.54,266.73,10,0.21208,0.21208
18.25,-15.25,26.44,116.91,16,NaN,NaN
18.25,15.25,27.87,21.1,16,NaN,NaN
-18.25,15.25,22.99,364.91,10,0.97758,0.97758
65.25,85.75,-5.22,557.28,9,1.1581,1.1581
40.75,-93.75,10.36,898.86,10,2.2892,2.2892
40.75,93.75,7.84,42.79,16,NaN,NaN
-7.75,113.25,26.75,1116.9,17,6.2348,NaN
38.25,-98.25,12.1,684.09,12,1.4837,1.4837
38.25,98.25,-6.07,289.28,10,0.5894,0.5894
36.75,50.25,7.41,873.48,10,1.7091,1.7091
74.25,-55.75,-10.54,196.34,15,NaN,NaN
74.25,55.75,-6.1,293.93,10,0.35964,0.35964
-74.25,55.75,-37.08,315.89,15,NaN,NaN
62.75,35.75,1.42,645.29,1,2.2405,2.2405
50.25,135.75,-4.94,543.74,5,2.0331,2.0331
25.75,71.25,26.99,259.62,7,0.81213,0.81213
25.25,88.25,25.03,1400.8,12,3.1786,3.1786
44.25,44.75,10.39,371.61,12,1.2326,1.2326
19.25,20.25,28,48.7,16,NaN,NaN
-19.25,20.25,22.43,528.3,10,1.9341,1.9341
-14.25,-70.25,1.7,974.98,10,0.62378,0.62378
-81.75,-119.75,-24.82,55.53,15,NaN,NaN
-81.75,119.75,-50.89,36.95,15,NaN,NaN
62.25,173.25,-7.11,412.32,7,0.6164,0.6164
55.25,-115.25,0.28,520.2,5,2.4639,2.4639
55.25,115.25,-10.66,370.49,10,0.99754,0.99754
61.25,-140.25,-10.35,390.21,16,0.425,NaN
61.25,140.25,-14.83,397.92,10,0.65627,0.65627
3.25,25.75,24.57,1708.9,2,7.0709,7.0709
-3.25,25.75,24.44,1592.6,2,6.55,6.55
8.25,28.25,27.76,1000.1,10,2.5716,2.5716
-8.25,28.25,21.97,1083.7,8,4.8058,4.8058
52.75,-84.75,-2.05,452.75,11,1.5374,1.5374
52.75,84.75,1.83,568.74,12,1.945,1.945
-73.25,156.25,-30.5,421.89,15,NaN,NaN
-73.75,156.75,-30.06,370.72,15,NaN,NaN
41.75,-94.75,9.16,833.45,12,2.1833,2.1833
41.75,94.75,6.24,51.81,16,NaN,NaN
68.75,108.75,-12.58,266.91,7,0.63903,0.63903
-68.75,108.75,-25.28,412.99,15,NaN,NaN
37.75,-121.75,14.81,373.65,10,2.1677,2.1677
62.75,13.75,1.39,527.02,8,1.3222,1.3222
-86.75,-32.75,-43.47,38.51,15,NaN,NaN
-86.75,32.75,-49.74,12.6,15,NaN,NaN
1.25,12.75,23.19,1644.7,2,5.8861,5.8861
-1.25,12.75,23.22,1766.3,2,6.5392,6.5392
51.75,-96.25,0.86,533.92,8,1.8939,1.8939
51.75,96.25,-9.81,227.19,8,1.6916,1.6916
61.25,70.75,-1.81,539.11,17,1.6429,NaN
63.25,-113.25,-5.87,278.61,9,0.64227,0.64227
79.75,-57.75,-24.69,112.9,15,NaN,NaN
-79.75,57.75,-55.62,32.04,15,NaN,NaN
63.25,113.25,-9.28,350.46,9,1.1921,1.1921
40.25,-79.25,10.74,1067,8,3.2022,3.2022
40.25,79.25,12.49,104.16,16,1.4361,NaN
55.25,-126.75,-1.14,586.62,1,2.1199,2.1199
13.75,32.75,28.68,272.89,10,1.1061,1.1061
-13.75,32.75,21.39,1023.4,10,3.1497,3.1497
55.25,126.75,-6.03,584.31,8,1.5786,1.5786
65.25,-106.75,-10.21,222,7,0.3366,0.3366
65.25,106.75,-13.3,329.7,9,0.69749,0.69749
