year,AtmospherePPM,unc,AtmospherePg,FossilFuelBurning,LandUseEmission,atmospheric growth,ocean sink,land sink,Balance1,,GPP,NPP,Fl,Fs,Fr,Fire,Herbivore,Rh,Rs,SoilC,OceanC
1959,315.97,0.12,672.773751,2.45,1.47,2.04,0.90,1.00,0.00,,111.19,54.34034,21.75636488,14.26926466,20.82403046,3.5,1.4,48.44,69.27,1467.67,7535.44
1960,316.91,0.12,674.77523,2.57,1.46,1.51,0.89,1.63,0.00,,111.6,54.35314,21.90837332,14.36896186,20.96952482,3.5,1.4,47.82,68.79,1470.13,7536.33
1961,317.64,0.12,676.3295701,2.58,1.53,1.65,0.76,1.70,0.00,,112.01,54.36594,22.06038176,14.46865906,21.11501918,3.5,1.4,47.77,68.88,1473.23,7537.23
1962,318.45,0.12,678.0542489,2.69,1.52,1.19,0.83,2.19,0.00,,112.42,54.37874,22.2123902,14.56835626,21.26051354,3.5,1.4,47.29,68.55,1476.46,7537.98
1963,318.99,0.12,679.2040347,2.83,1.53,1.21,1.01,2.14,0.00,,112.83,54.39154,22.36439864,14.66805346,21.4060079,3.5,1.4,47.35,68.76,1480.17,7538.81
1964,319.62,0.12,680.5454515,3.00,1.52,1.04,1.28,2.19,0.00,,113.24,54.40434,22.51640708,14.76775066,21.55150226,3.5,1.4,47.31,68.86,1483.83,7539.82
1965,320.04,0.12,681.4397293,3.13,1.55,2.33,1.51,0.84,0.00,,113.65,54.41714,22.66841552,14.86744786,21.69699662,3.5,1.4,48.68,70.38,1487.54,7541.10
1966,321.38,0.12,684.2929015,3.29,1.55,2.33,1.48,1.03,0.00,,114.06,54.41714,22.82532252,14.97035786,21.84717962,3.5,1.4,48.49,70.34,1489.93,7542.61
1967,322.16,0.12,685.9537033,3.39,1.59,1.29,1.20,2.49,0.00,,114.47,54.44274,22.9724324,15.06684226,21.98798534,3.5,1.4,47.05,69.04,1492.51,7544.09
1968,323.04,0.12,687.8274283,3.57,1.55,2.10,1.20,1.81,0.00,,114.88,54.45554,23.12444084,15.16653946,22.1334797,3.5,1.4,47.74,69.87,1496.59,7545.30
