# Ra-to-GPP ratio estimates from published papers,,,,,,,,,,
# Ecosystem type,Comments about ecosystem,Second comments about ecosystem,Leaf habit of the ecosystem,Autotrophic respiration,Gross primary production,Ra-to-GPP ratio,Mean annual temperature,Reference,Comments about reference,URL for the reference
Ecosystem,Ecosystem_comments,Ecosystem_comments2,Leaf_habit,Ra,GPP,RaGPP_ratio,MAT,Ref,Comments,URL
Crop,Aldalfa,,,,,0.42,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Crop,"Maize, rice and, wheat",,,,,0.45,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Grassland,Shortgrass prairie,,,,,0.34,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Grassland,Shortgrass prairie,,,,,0.51,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Grassland,Tall grass prairie,No grazing,,,,0.61,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Grassland,Tall grass prairie,Seasonal grazing,,,,0.65,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Grassland,Tall grass prairie,Year round grazing,,,,0.62,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Tropical moist ,Ivory coast,Evergreen,,,0.75,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Tropical moist ,Puerto Rico,Evergreen,,,0.88,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Tropical moist ,Southern Thailand,Evergreen,,,0.66,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Warm evergreen,Evergreen,,,0.72,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Warm evergreen oak,Evergreen,,,0.66,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Abies sachalinensis,Evergreen,,,0.53,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Castanopis cuspidata,Evergreen,,,0.58,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Chamaecyparis obtusa plantation,Evergreen,,,0.62,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Crytomeria japonico plantation,Evergreen,,,0.71,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Fagus crenata secondary forest,Evergreen,,,0.44,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Fagus crenata plantation,Evergreen,,,0.56,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Fagus sylvatica 8 yrs old,Evergreen,,,0.46,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Fagus sylvatica 25 yrs old,Evergreen,,,0.39,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Fagus sylvatica 46 yrs old,Evergreen,,,0.43,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Fagus sylvatica 85 yrs old,Evergreen,,,0.47,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Fraxinus excelsior plantation,Deciduous,,,0.37,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Liriodendron tulipifera,Deciduous,,,0.66,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Picea abies plantation,Evergreen,,,0.32,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Pinus densiflora plantation,Evergreen,,,0.71,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Pinus ponderosa,Evergreen,,,0.55,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Pinus taeda plantation,Evergreen,,,0.58,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Pinus spp.,Evergreen,,,0.55,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
Forest,Temperate,Pseudotsuga Tsuga,Evergreen,,,0.93,,Amothor (2001),,https://nature.berkeley.edu/biometlab/pdf/Amthor%20and%20Baldocchi%202001%20In%20Terr%20Global%20Prod.pdf
